tipo_carne,ano,trimestre,producao_cabecas_anual_mi,abate_cabecas,peso_carcaca_ton,exportacao_usd,media_cambio_usdbrl,custo_milho_rs,custo_soja_rs,preco_medio_ton_usd,date,time_index,quarter_sin,quarter_cos,halfyear_sin,halfyear_cos,exportacao_usd_lag1,exportacao_usd_lag2,exportacao_usd_lag3,exportacao_usd_lag4,exportacao_usd_rolling_mean_4,exportacao_usd_ewm_4,exportacao_usd_diff_1,exportacao_usd_pct_change_a,preco_medio_ton_usd_lag1,preco_medio_ton_usd_lag2,preco_medio_ton_usd_lag3,preco_medio_ton_usd_lag4,preco_medio_ton_usd_rolling_mean_4,preco_medio_ton_usd_ewm_4,preco_medio_ton_usd_diff_1,preco_medio_ton_usd_pct_change_a
bovino,2015,1,215.2,7.737,1.836,0.993,2.87,22.95,60.01,4.279,2015-01-01,4,0.0,1.0,0.0,1.0,1.519,1.547,1.384,1.345,1.44875,1.468696,-0.5259999999999999,-0.2617100371747212,4.858,4.874,4.729,4.403,4.715999999999999,4.744984,-0.5789999999999997,-0.0281626163979104
bovino,2015,2,215.2,7.626,1.844,1.094,3.07,20.92,57.96,4.23,2015-04-01,5,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.993,1.519,1.547,1.384,1.36075,1.2784176,0.10100000000000009,-0.2095375722543351,4.279,4.858,4.874,4.729,4.6850000000000005,4.5585904,-0.04899999999999949,-0.10551913723831674
bovino,2015,3,215.2,7.578,1.877,1.258,3.59,23.8,69.05,4.558,2015-07-01,6,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1.094,0.993,1.519,1.547,1.28825,1.2046505600000001,0.16399999999999992,-0.18681318681318682,4.23,4.279,4.858,4.874,4.56025,4.42715424,0.3279999999999994,-0.06483381206401306
bovino,2015,4,215.2,7.693,1.929,1.319,3.83,27.76,70.2,4.222,2015-10-01,7,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,1.258,1.094,0.993,1.519,1.216,1.2259903360000002,0.06099999999999994,-0.13166556945358787,4.558,4.23,4.279,4.858,4.48125,4.479492543999999,-0.3359999999999994,-0.13091807328118554
bovino,2016,1,218.23,7.303,1.797,1.094,3.82,36.46,65.52,4.23,2016-01-01,8,0.0,1.0,0.0,1.0,1.319,1.258,1.094,0.993,1.166,1.2631942016000002,-0.22499999999999987,0.10171198388721048,4.222,4.558,4.23,4.279,4.32225,4.376495526399999,0.008000000000000007,-0.011451273662070438
bovino,2016,2,218.23,7.629,1.872,1.117,3.46,44.43,80.69,3.911,2016-04-01,9,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,1.094,1.319,1.258,1.094,1.19125,1.19551652096,0.02299999999999991,0.021023765996343702,4.23,4.222,4.558,4.23,4.3100000000000005,4.31789731584,-0.3190000000000004,-0.0754137115839244
bovino,2016,3,218.23,7.321,1.829,1.065,3.23,39.51,70.56,4.133,2016-07-01,10,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1.117,1.094,1.319,1.258,1.197,1.164109912576,-0.052000000000000046,-0.15341812400635935,3.911,4.23,4.222,4.558,4.23025,4.155138389504,0.22199999999999998,-0.09324265028521272
bovino,2016,4,218.23,7.409,1.85,1.059,3.32,33.69,69.94,4.299,2016-10-01,11,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,1.065,1.117,1.094,1.319,1.14875,1.1244659475456,-0.006000000000000005,-0.19711902956785443,4.133,3.911,4.23,4.222,4.1240000000000006,4.1462830337023995,0.16600000000000037,0.01823780198957836
bovino,2017,1,214.9,7.393,1.795,1.079,3.14,26.22,61.42,4.088,2017-01-01,12,0.0,1.0,0.0,1.0,1.059,1.065,1.117,1.094,1.08375,1.09827956852736,0.020000000000000018,-0.013711151736745975,4.299,4.133,3.911,4.23,4.14325,4.20736982022144,-0.2110000000000003,-0.033569739952718725
bovino,2017,2,214.9,7.417,1.83,1.094,3.21,21.37,58.3,4.208,2017-04-01,13,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,1.079,1.059,1.065,1.117,1.0799999999999998,1.0905677411164159,0.015000000000000124,-0.020590868397493245,4.088,4.299,4.133,3.911,4.107749999999999,4.159621892132864,0.1200000000000001,0.07593965737663
