ano,trimestre,tipo_carne,producao_cabecas_anual_mi,abate_cabecas,peso_carcaca_ton,exportacao_usd,media_cambio_usdbrl,custo_milho_rs,custo_soja_rs,preco_medio_ton_usd
2014,1,bovino,212.34,8.366,1.951,1.345,2.34,22.57,62.01,4.403
2014,2,bovino,212.34,8.516,2.006,1.384,2.22,23.59,61.42,4.729
2014,3,bovino,212.34,8.456,2.036,1.547,2.28,19.97,56.5,4.874
2014,4,bovino,212.34,8.525,2.058,1.519,2.59,21.46,56.73,4.858
2014,1,suino,37.93,8.686,0.747,0.260,2.34,22.57,62.01,2.811
2014,2,suino,37.93,9.151,0.797,0.375,2.22,23.59,61.42,3.471
2014,3,suino,37.93,9.64,0.833,0.399,2.28,19.97,56.5,3.774
2014,4,suino,37.93,9.494,0.802,0.410,2.59,21.46,56.73,3.674
2014,1,frango,1331,1.395,3.192,1.470,2.34,22.57,62.01,1.779
2014,2,frango,1331,1.378,3.179,1.764,2.22,23.59,61.42,1.932
2014,3,frango,1331,1.418,3.249,1.881,2.28,19.97,56.5,1.939
2014,4,frango,1331,1.406,3.176,1.776,2.59,21.46,56.73,1.891
2015,1,bovino,215.2,7.737,1.836,0.993,2.87,22.95,60.01,4.279
2015,2,bovino,215.2,7.626,1.844,1.094,3.07,20.92,57.96,4.230
2015,3,bovino,215.2,7.578,1.877,1.258,3.59,23.8,69.05,4.558
2015,4,bovino,215.2,7.693,1.929,1.319,3.83,27.76,70.2,4.222
2015,1,suino,40.33,9.17,0.794,0.197,2.87,22.95,60.01,2.589
2015,2,suino,40.33,9.7,0.86,0.300,3.07,20.92,57.96,2.565
2015,3,suino,40.33,10.184,0.897,0.367,3.59,23.8,69.05,2.587
2015,4,suino,40.33,10.216,0.877,0.301,3.83,27.76,70.2,2.205
2015,1,frango,1330,1.382,3.164,1.354,2.87,22.95,60.01,1.627
2015,2,frango,1330,1.402,3.268,1.611,3.07,20.92,57.96,1.671
2015,3,frango,1330,1.503,3.376,1.770,3.59,23.8,69.05,1.627
2015,4,frango,1330,1.506,3.33,1.493,3.83,27.76,70.2,1.487
2016,1,bovino,218.23,7.303,1.797,1.094,3.82,36.46,65.52,4.230
2016,2,bovino,218.23,7.629,1.872,1.117,3.46,44.43,80.69,3.911
2016,3,bovino,218.23,7.321,1.829,1.065,3.23,39.51,70.56,4.133
2016,4,bovino,218.23,7.409,1.85,1.059,3.32,33.69,69.94,4.299
2016,1,suino,39.95,10.061,0.878,0.247,3.82,36.46,65.52,1.769
2016,2,suino,39.95,10.46,0.919,0.326,3.46,44.43,80.69,2.021
2016,3,suino,39.95,10.721,0.949,0.392,3.23,39.51,70.56,2.269
2016,4,suino,39.95,10.808,0.938,0.383,3.32,33.69,69.94,2.480
2016,1,frango,1350,1.403,3.29,1.287,3.82,36.46,65.52,1.365
2016,2,frango,1350,1.494,3.407,1.668,3.46,44.43,80.69,1.492
2016,3,frango,1350,1.472,3.34,1.611,3.23,39.51,70.56,1.605
2016,4,frango,1350,1.413,3.207,1.379,3.32,33.69,69.94,1.540
2017,1,bovino,214.9,7.393,1.795,1.079,3.14,26.22,61.42,4.088
2017,2,bovino,214.9,7.417,1.83,1.094,3.21,21.37,58.3,4.208
2017,3,bovino,214.9,7.986,2.019,1.436,3.07,21.77,58.9,4.227
2017,4,bovino,214.9,8.021,2.024,1.460,3.24,25.24,63.35,4.261
2017,1,suino,41.1,10.479,0.9,0.365,3.14,26.22,61.42,2.381
2017,2,suino,41.1,10.615,0.95,0.374,3.21,21.37,58.3,2.671
2017,3,suino,41.1,11.035,0.987,0.392,3.07,21.77,58.9,2.449
2017,4,suino,41.1,11.053,0.974,0.332,3.24,25.24,63.35,2.396
2017,1,frango,1425,1.486,3.381,1.595,3.14,26.22,61.42,1.647
2017,2,frango,1425,1.426,3.362,1.574,3.21,21.37,58.3,1.647
2017,3,frango,1425,1.482,3.458,1.739,3.07,21.77,58.9,1.593
2017,4,frango,1425,1.428,3.349,1.518,3.24,25.24,63.35,1.635
2018,1,bovino,213.5,7.734,1.882,1.300,3.24,29.28,67.28,3.757
2018,2,bovino,213.5,7.719,1.896,0.888,3.6,33.39,72.06,4.129
2018,3,bovino,213.5,8.28,2.106,1.735,3.95,34.71,79.52,4.072
2018,4,bovino,213.5,8.141,2.063,1.534,3.84,31.06,72.15,3.902
2018,1,suino,41.4,10.716,0.957,0.281,3.24,29.28,67.28,2.132
2018,2,suino,41.4,10.82,0.978,0.214,3.6,33.39,72.06,2.029
2018,3,suino,41.4,11.558,1.037,0.288,3.95,34.71,79.52,1.808
2018,4,suino,41.4,11.096,0.97,0.286,3.84,31.06,72.15,1.873
2018,1,frango,1468,1.478,3.507,1.452,3.24,29.28,67.28,1.532
2018,2,frango,1468,1.376,3.379,1.177,3.6,33.39,72.06,1.526
2018,3,frango,1468,1.426,3.378,1.747,3.95,34.71,79.52,1.530
2018,4,frango,1468,1.416,3.336,1.507,3.84,31.06,72.15,1.568
2019,1,bovino,214.7,7.923,1.949,1.257,3.76,32.12,69.12,3.739
2019,2,bovino,214.7,8.036,2.001,1.336,3.92,30.42,70.14,3.840
2019,3,bovino,214.7,8.498,2.197,1.678,3.96,30.87,75.77,4.127
2019,4,bovino,214.7,8.071,2.091,2.258,4.11,37.34,78.68,4.756
2019,1,suino,40.6,11.294,0.99,0.271,3.76,32.12,69.12,2.009
2019,2,suino,40.6,11.394,1.017,0.375,3.92,30.42,70.14,2.238
2019,3,suino,40.6,11.75,1.057,0.379,3.96,30.87,75.77,2.281
2019,4,suino,40.6,11.886,1.058,0.457,4.11,37.34,78.68,2.459
2019,1,frango,1500,1.437,3.355,1.379,3.76,32.12,69.12,1.588
2019,2,frango,1500,1.424,3.343,1.708,3.92,30.42,70.14,1.641
2019,3,frango,1500,1.471,3.451,1.700,3.96,30.87,75.77,1.651
2019,4,frango,1500,1.47,3.399,1.598,4.11,37.34,78.68,1.595
2020,1,bovino,218.2,7.254,1.837,1.623,4.46,44.54,81.87,4.591
2020,2,bovino,218.2,7.3,1.879,1.846,5.38,41.33,95.82,4.356
2020,3,bovino,218.2,7.733,2.062,1.928,5.37,51.58,128.3,4.060
2020,4,bovino,218.2,7.308,1.97,2.071,3.39,69.2,140.93,4.379
